	A	D	S	
r1	  0.091929353091	  1.000000000000	  0.000000000000	
r2	  0.094433121873	  1.000000000000	  0.000000000000	
r3	  0.092481429393	  1.000000000000	  0.000000000000	
r4	  0.090536301462	  1.000000000000	  0.000000000000	
r5	  0.089395801755	  1.000000000000	  0.000000000000	
r6	  0.095410702270	  1.000000000000	  0.000000000000	
r7	  0.093241746088	  1.000000000000	  0.000000000000	
r8	  0.092050694787	  1.000000000000	  0.000000000000	
r9	  0.095033455960	  1.000000000000	  0.000000000000	
r10	  0.092322804847	  1.000000000000	  0.000000000000	
r11	  0.092727427751	  1.000000000000	  0.000000000000	
r12	  0.093837176955	  1.000000000000	  0.000000000000	
r13	  0.090396237369	  1.000000000000	  0.000000000000	
r14	  0.088406326968	  1.000000000000	  0.000000000000	
r15	  0.096039532169	  1.000000000000	  0.000000000000	
r16	  0.091939403304	  1.000000000000	  0.000000000000	
r17	  0.094191631574	  1.000000000000	  0.000000000000	
r18	  0.094501469083	  1.000000000000	  0.000000000000	
r19	  0.093384692073	  1.000000000000	  0.000000000000	
r20	  0.095295630994	  1.000000000000	  0.000000000000	
r21	  0.096092354855	  1.000000000000	  0.000000000000	
r22	  0.091931151141	  1.000000000000	  0.000000000000	
r23	  0.091530049658	  1.000000000000	  0.000000000000	
r24	  0.096622360707	  1.000000000000	  0.000000000000	
r25	  0.088969960457	  1.000000000000	  0.000000000000	
r26	  0.093397395709	  1.000000000000	  0.000000000000	
r27	  0.096817607146	  1.000000000000	  0.000000000000	
r28	  0.091982219244	  1.000000000000	  0.000000000000	
r29	  0.094498840985	  1.000000000000	  0.000000000000	
r30	  0.089193053884	  1.000000000000	  0.000000000000	
r31	  0.090143462055	  1.000000000000	  0.000000000000	
r32	  0.094070325731	  1.000000000000	  0.000000000000	
r33	  0.092103866653	  1.000000000000	  0.000000000000	
r34	  0.095310250337	  1.000000000000	  0.000000000000	
r35	  0.092709955168	  1.000000000000	  0.000000000000	
r36	  0.089557840232	  1.000000000000	  0.000000000000	
r37	  0.093779852410	  1.000000000000	  0.000000000000	
r38	  0.092519795520	  1.000000000000	  0.000000000000	
r39	  0.095483106227	  1.000000000000	  0.000000000000	
r40	  0.090768343488	  1.000000000000	  0.000000000000	
r41	  0.093485684999	  1.000000000000	  0.000000000000	
r42	  0.090322647589	  1.000000000000	  0.000000000000	
r43	  0.090195978094	  1.000000000000	  0.000000000000	
r44	  0.094782104390	  1.000000000000	  0.000000000000	
r45	  0.093287202950	  1.000000000000	  0.000000000000	
r46	  0.094265454228	  1.000000000000	  0.000000000000	
r47	  0.095168846789	  1.000000000000	  0.000000000000	
r48	  0.091975826946	  1.000000000000	  0.000000000000	
r49	  0.085696787102	  1.000000000000	  0.000000000000	
r50	  0.090846560915	  1.000000000000	  0.000000000000	
r51	  0.090792480272	  1.000000000000	  0.000000000000	
r52	  0.090323087388	  1.000000000000	  0.000000000000	
r53	  0.092085161148	  1.000000000000	  0.000000000000	
r54	  0.091606118090	  1.000000000000	  0.000000000000	
r55	  0.090158849958	  1.000000000000	  0.000000000000	
r56	  0.092414903106	  1.000000000000	  0.000000000000	
r57	  0.098587060581	  1.000000000000	  0.000000000000	
r58	  0.091234023312	  1.000000000000	  0.000000000000	
r59	  0.093659305425	  1.000000000000	  0.000000000000	
r60	  0.094446369403	  1.000000000000	  0.000000000000	
r61	  0.090903179257	  1.000000000000	  0.000000000000	
r62	  0.089632768510	  1.000000000000	  0.000000000000	
r63	  0.091302979686	  1.000000000000	  0.000000000000	
r64	  0.091667754330	  1.000000000000	  0.000000000000	
r65	  0.092861844994	  1.000000000000	  0.000000000000	
r66	  0.098230207313	  1.000000000000	  0.000000000000	
r67	  0.092300364640	  1.000000000000	  0.000000000000	
r68	  0.088044438719	  1.000000000000	  0.000000000000	
r69	  0.092512975810	  1.000000000000	  0.000000000000	
r70	  0.099083691824	  1.000000000000	  0.000000000000	
r71	  0.097598913289	  1.000000000000	  0.000000000000	
r72	  0.094295853211	  1.000000000000	  0.000000000000	
r73	  0.094394387079	  1.000000000000	  0.000000000000	
r74	  0.092635090639	  1.000000000000	  0.000000000000	
r75	  0.092148544544	  1.000000000000	  0.000000000000	
r76	  0.091617008702	  1.000000000000	  0.000000000000	
r77	  0.092432165308	  1.000000000000	  0.000000000000	
r78	  0.092916968039	  1.000000000000	  0.000000000000	
r79	  0.094120646796	  1.000000000000	  0.000000000000	
r80	  0.093128398855	  1.000000000000	  0.000000000000	
r81	  0.094371874790	  1.000000000000	  0.000000000000	
r82	  0.091239286190	  1.000000000000	  0.000000000000	
r83	  0.091156264911	  1.000000000000	  0.000000000000	
r84	  0.093683813620	  1.000000000000	  0.000000000000	
r85	  0.093207169762	  1.000000000000	  0.000000000000	
r86	  0.094539346025	  1.000000000000	  0.000000000000	
r87	  0.091582567103	  1.000000000000	  0.000000000000	
r88	  0.095536453249	  1.000000000000	  0.000000000000	
r89	  0.091369204881	  1.000000000000	  0.000000000000	
r90	  0.093805065347	  1.000000000000	  0.000000000000	
r91	  0.095912939667	  1.000000000000	  0.000000000000	
r92	  0.095521482331	  1.000000000000	  0.000000000000	
r93	  0.093757867324	  1.000000000000	  0.000000000000	
r94	  0.096048587772	  1.000000000000	  0.000000000000	
r95	  0.089358092728	  1.000000000000	  0.000000000000	
r96	  0.091103468427	  1.000000000000	  0.000000000000	
r97	  0.091237433291	  1.000000000000	  0.000000000000	
r98	  0.090539235463	  1.000000000000	  0.000000000000	
r99	  0.094814039238	  1.000000000000	  0.000000000000	
r100	  0.092349386279	  1.000000000000	  0.000000000000	
