	A	D	S	
r1	  0.089289799418	  1.233901829920	  0.001747146566	
r2	  0.092736004990	  1.242695405040	  0.000968017947	
r3	  0.090638889797	  1.223241840843	  0.001279815489	
r4	  0.088159358048	  1.221760713647	  0.002214039726	
r5	  0.088249088458	  1.221999549274	  0.000656025471	
r6	  0.091739010875	  1.237103645422	  0.002525058748	
r7	  0.092758840211	  1.217287348022	  0.000968017947	
r8	  0.091075960175	  1.222428198729	  0.000656025471	
r9	  0.092725273260	  1.233707887585	  0.000968017947	
r10	  0.088169899245	  1.237186864685	  0.002214039726	
r11	  0.091013532156	  1.234139473828	  0.001123941077	
r12	  0.092675596671	  1.228457582483	  0.000968017947	
r13	  0.090058584467	  1.220669222160	  0.000343837938	
r14	  0.087436416775	  1.217464293176	  0.000343837938	
r15	  0.092390338357	  1.239687185634	  0.002525058748	
r16	  0.089840782293	  1.221114904184	  0.001435641198	
r17	  0.092197160176	  1.218048749401	  0.001279815489	
r18	  0.091819064350	  1.235015821858	  0.001591418218	
r19	  0.091333106697	  1.222373126347	  0.001591418218	
r20	  0.091661503628	  1.237863472181	  0.002525058748	
r21	  0.089424770381	  1.252948839842	 -0.000281122783	
r22	  0.090914223060	  1.226240096112	  0.000343837938	
r23	  0.088052788984	  1.233162822653	  0.002214039726	
r24	  0.093793433992	  1.247332612492	  0.002214039726	
r25	  0.087777137479	  1.224219055455	  0.000968017947	
r26	  0.092934101437	  1.226960751469	  0.000343837938	
r27	  0.095073684625	  1.225964292066	  0.001279815489	
r28	  0.091441901034	  1.216853397910	 -0.000281122783	
r29	  0.093766898936	  1.222192659798	  0.000343837938	
r30	  0.089145721297	  1.234304419437	  0.000031455228	
r31	  0.089158758745	  1.218600129582	  0.000656025471	
r32	  0.093111884202	  1.228613900934	  0.000968017947	
r33	  0.091107131619	  1.227142592195	  0.000656025471	
r34	  0.091726292946	  1.237085171856	  0.002214039726	
r35	  0.091120024853	  1.225287616109	  0.001279815489	
r36	  0.086713196971	  1.226371923690	  0.001591418218	
r37	  0.090972605786	  1.224713625420	  0.002214039726	
r38	  0.089950974379	  1.238963591857	  0.001591418218	
r39	  0.094068810920	  1.228407396233	  0.000968017947	
r40	  0.089905760845	  1.220681626471	  0.000656025471	
r41	  0.090694605982	  1.224126077250	  0.001902826257	
r42	  0.089382122814	  1.230508760689	  0.000656025471	
r43	  0.090173039869	  1.216128056689	  0.000343837938	
r44	  0.093109588228	  1.236237709146	  0.001123941077	
r45	  0.091681520106	  1.204184327865	  0.000968017947	
r46	  0.091566735921	  1.226308863422	  0.001591418218	
r47	  0.093293643082	  1.238728552436	  0.001279815489	
r48	  0.090176195463	  1.229827558739	  0.001279815489	
r49	  0.086313095315	  1.210781932699	 -0.000437485065	
r50	  0.088798674958	  1.229766585237	  0.001435641198	
r51	  0.089105524502	  1.241208974168	  0.001279815489	
r52	  0.090219946582	  1.227834717760	  0.000031455228	
r53	  0.091652201321	  1.232017901213	  0.000968017947	
r54	  0.090447894696	  1.229314486680	  0.000656025471	
r55	  0.089395516392	  1.223488377094	  0.000343837938	
r56	  0.090508338504	  1.223758176976	  0.000968017947	
r57	  0.093009795992	  1.233307146418	  0.003456950341	
r58	  0.088879610355	  1.237428364305	  0.001591418218	
r59	  0.091679416199	  1.226776999268	  0.001279815489	
r60	  0.090818394395	  1.242546508777	  0.002525058748	
r61	  0.089698505487	  1.219043137802	  0.000812046083	
r62	  0.088690125613	  1.224492941949	  0.000343837938	
r63	  0.091237911355	  1.210781303754	  0.000031455228	
r64	  0.089832855237	  1.227413333981	  0.000968017947	
r65	  0.091906107894	  1.219275305777	  0.000656025471	
r66	  0.092756686436	  1.233762609923	  0.003456950341	
r67	  0.092530505601	  1.233123257845	 -0.000124809358	
r68	  0.088691631538	  1.223685727704	 -0.000437485065	
r69	  0.090356057130	  1.220881438124	  0.001591418218	
r70	  0.094929720727	  1.237903567390	  0.003456950341	
r71	  0.096209658930	  1.240147701227	  0.000968017947	
r72	  0.091754301757	  1.222855875835	  0.001747146566	
r73	  0.094331439373	  1.225261908868	  0.000343837938	
r74	  0.090733898288	  1.220882762082	  0.001279815489	
r75	  0.088373017407	  1.226409157516	  0.002835883443	
r76	  0.090609457183	  1.230974838131	  0.000343837938	
r77	  0.091444390878	  1.230188110983	  0.000656025471	
r78	  0.090566862804	  1.230592362112	  0.000968017947	
r79	  0.091269929782	  1.223830082198	  0.001591418218	
r80	  0.089044137372	  1.228374582437	  0.002214039726	
r81	  0.091114524919	  1.230924859947	  0.002214039726	
r82	  0.089367361037	  1.200246557449	  0.001279815489	
r83	  0.090632812157	  1.246404655568	  0.000968017947	
r84	  0.092217319073	  1.226532597443	  0.002214039726	
r85	  0.092231076953	  1.219743275878	  0.000656025471	
r86	  0.092618044774	  1.230591492270	  0.001279815489	
r87	  0.090574426730	  1.219576447432	  0.000656025471	
r88	  0.094339599310	  1.238600700481	  0.000812046083	
r89	  0.090716790244	  1.226984864906	  0.000656025471	
r90	  0.093519458675	  1.219350245404	  0.000343837938	
r91	  0.092153431610	  1.235085580493	  0.002835883443	
r92	  0.093921667376	  1.222297106342	  0.000968017947	
r93	  0.091779610140	  1.218221261134	  0.001591418218	
r94	  0.094121630142	  1.244330136554	  0.000968017947	
r95	  0.088851714222	  1.228047191360	  0.000343837938	
r96	  0.090115030350	  1.228340995901	  0.000656025471	
r97	  0.088799716928	  1.232021082318	  0.001591418218	
r98	  0.088620366928	  1.224756946056	  0.000968017947	
r99	  0.093010738847	  1.224243534897	  0.001591418218	
r100	  0.090223511038	  1.227105471851	  0.001591418218	
