	A	D	S	
r1	  0.111762237177	  1.000000000000	 -0.016807355935	
r2	  0.116199051121	  1.000000000000	 -0.018749021868	
r3	  0.112123233712	  1.000000000000	 -0.016807355935	
r4	  0.109461831052	  1.000000000000	 -0.016161750328	
r5	  0.111350285876	  1.000000000000	 -0.020697982718	
r6	  0.116617443106	  1.000000000000	 -0.018749021868	
r7	  0.115538938171	  1.000000000000	 -0.019397863587	
r8	  0.113594762354	  1.000000000000	 -0.019397863587	
r9	  0.118373222463	  1.000000000000	 -0.020860726265	
r10	  0.112152658600	  1.000000000000	 -0.017453769054	
r11	  0.115731975541	  1.000000000000	 -0.020697982718	
r12	  0.116853640838	  1.000000000000	 -0.020697982718	
r13	  0.113044069134	  1.000000000000	 -0.020047516865	
r14	  0.110244952376	  1.000000000000	 -0.019397863587	
r15	  0.117687405592	  1.000000000000	 -0.019397863587	
r16	  0.112106448426	  1.000000000000	 -0.018100990695	
r17	  0.114380801799	  1.000000000000	 -0.017453769054	
r18	  0.118294692326	  1.000000000000	 -0.021349262161	
r19	  0.115331832560	  1.000000000000	 -0.019397863587	
r20	  0.116185681103	  1.000000000000	 -0.018424905027	
r21	  0.117401774327	  1.000000000000	 -0.018749021868	
r22	  0.116226036221	  1.000000000000	 -0.021675207297	
r23	  0.111561875360	  1.000000000000	 -0.018100990695	
r24	  0.122145419642	  1.000000000000	 -0.020697982718	
r25	  0.112786284268	  1.000000000000	 -0.022001356213	
r26	  0.117668116697	  1.000000000000	 -0.023307992218	
r27	  0.120532665353	  1.000000000000	 -0.021512209265	
r28	  0.115084475340	  1.000000000000	 -0.020697982718	
r29	  0.118485932688	  1.000000000000	 -0.020697982718	
r30	  0.115614047403	  1.000000000000	 -0.023962536213	
r31	  0.112811445041	  1.000000000000	 -0.020047516865	
r32	  0.117995710002	  1.000000000000	 -0.020697982718	
r33	  0.115817777715	  1.000000000000	 -0.021349262161	
r34	  0.115492693138	  1.000000000000	 -0.017777278746	
r35	  0.114471055014	  1.000000000000	 -0.019397863587	
r36	  0.107920303863	  1.000000000000	 -0.016161750328	
r37	  0.115765203330	  1.000000000000	 -0.018749021868	
r38	  0.115234777491	  1.000000000000	 -0.020372648156	
r39	  0.118004413720	  1.000000000000	 -0.020047516865	
r40	  0.113478351593	  1.000000000000	 -0.020697982718	
r41	  0.112315703793	  1.000000000000	 -0.016807355935	
r42	  0.114306798198	  1.000000000000	 -0.022001356213	
r43	  0.113124802879	  1.000000000000	 -0.020697982718	
r44	  0.118893420576	  1.000000000000	 -0.022001356213	
r45	  0.111633375553	  1.000000000000	 -0.015678075445	
r46	  0.114112218621	  1.000000000000	 -0.017453769054	
r47	  0.119644541969	  1.000000000000	 -0.022327709035	
r48	  0.112665349280	  1.000000000000	 -0.018060515636	
r49	  0.109370652101	  1.000000000000	 -0.020697982718	
r50	  0.113414193411	  1.000000000000	 -0.019397863587	
r51	  0.114374375939	  1.000000000000	 -0.020860726265	
r52	  0.115506538631	  1.000000000000	 -0.022654265892	
r53	  0.115767318028	  1.000000000000	 -0.021186365971	
r54	  0.117304197094	  1.000000000000	 -0.023307992218	
r55	  0.114188756252	  1.000000000000	 -0.021349262161	
r56	  0.114262487542	  1.000000000000	 -0.019397863587	
r57	  0.115504849133	  1.000000000000	 -0.014551262556	
r58	  0.112744993792	  1.000000000000	 -0.018749021868	
r59	  0.114897388493	  1.000000000000	 -0.018424905027	
r60	  0.116577325066	  1.000000000000	 -0.019397863587	
r61	  0.110634202416	  1.000000000000	 -0.018100990695	
r62	  0.114096511283	  1.000000000000	 -0.022327709035	
r63	  0.114016628513	  1.000000000000	 -0.019397863587	
r64	  0.113882044173	  1.000000000000	 -0.019722588718	
r65	  0.115501789312	  1.000000000000	 -0.020047516865	
r66	  0.116885769953	  1.000000000000	 -0.016484452256	
r67	  0.118697666775	  1.000000000000	 -0.023962536213	
r68	  0.113512197754	  1.000000000000	 -0.022981026910	
r69	  0.112648233012	  1.000000000000	 -0.017453769054	
r70	  0.118390157834	  1.000000000000	 -0.018100990695	
r71	  0.120594391689	  1.000000000000	 -0.020697982718	
r72	  0.113860319888	  1.000000000000	 -0.016807355935	
r73	  0.117253321719	  1.000000000000	 -0.019397863587	
r74	  0.113123759146	  1.000000000000	 -0.017939109431	
r75	  0.110129217996	  1.000000000000	 -0.015355877345	
r76	  0.118315534403	  1.000000000000	 -0.023307992218	
r77	  0.116304667255	  1.000000000000	 -0.021349262161	
r78	  0.114919715206	  1.000000000000	 -0.019397863587	
r79	  0.113647890286	  1.000000000000	 -0.016807355935	
r80	  0.111945731409	  1.000000000000	 -0.015516951223	
r81	  0.113582971025	  1.000000000000	 -0.016484452256	
r82	  0.109385642678	  1.000000000000	 -0.015516951223	
r83	  0.117624895142	  1.000000000000	 -0.024617898899	
r84	  0.114255183526	  1.000000000000	 -0.018100990695	
r85	  0.113671578144	  1.000000000000	 -0.017453769054	
r86	  0.117453113935	  1.000000000000	 -0.020697982718	
r87	  0.115190002144	  1.000000000000	 -0.021349262161	
r88	  0.120074186622	  1.000000000000	 -0.022001356213	
r89	  0.098597552374	  1.000000000000	 -0.015516951223	
r90	  0.116923583444	  1.000000000000	 -0.020047516865	
r91	  0.118926980717	  1.000000000000	 -0.020697982718	
r92	  0.119459400175	  1.000000000000	 -0.022001356213	
r93	  0.113264815776	  1.000000000000	 -0.018100990695	
r94	  0.120788303523	  1.000000000000	 -0.022001356213	
r95	  0.113892107293	  1.000000000000	 -0.022001356213	
r96	  0.113889614540	  1.000000000000	 -0.020047516865	
r97	  0.112360694793	  1.000000000000	 -0.018100990695	
r98	  0.112915366078	  1.000000000000	 -0.020697982718	
r99	  0.115928287895	  1.000000000000	 -0.018749021868	
r100	  0.115561498212	  1.000000000000	 -0.020697982718	
