	A	D	S	
r1	  0.000000000000	  1.000000000000	 -0.000906865194	
r2	  0.000000000000	  1.000000000000	 -0.001846946618	
r3	  0.000000000000	  1.000000000000	 -0.000985138007	
r4	  0.000000000000	  1.000000000000	 -0.000593896217	
r5	  0.000000000000	  1.000000000000	 -0.001846946618	
r6	  0.000000000000	  1.000000000000	 -0.000281122783	
r7	  0.000000000000	  1.000000000000	 -0.001533390272	
r8	  0.000000000000	  1.000000000000	 -0.001533390272	
r9	  0.000000000000	  1.000000000000	 -0.001141720327	
r10	  0.000000000000	  1.000000000000	 -0.000593896217	
r11	  0.000000000000	  1.000000000000	 -0.001376685574	
r12	  0.000000000000	  1.000000000000	 -0.001533390272	
r13	  0.000000000000	  1.000000000000	 -0.001846946618	
r14	  0.000000000000	  1.000000000000	 -0.002160698997	
r15	  0.000000000000	  1.000000000000	 -0.000281122783	
r16	  0.000000000000	  1.000000000000	 -0.000906865194	
r17	  0.000000000000	  1.000000000000	 -0.000750356255	
r18	  0.000000000000	  1.000000000000	 -0.000906865194	
r19	  0.000000000000	  1.000000000000	 -0.001533390272	
r20	  0.000000000000	  1.000000000000	 -0.000593896217	
r21	  0.000000000000	  1.000000000000	 -0.000906865194	
r22	  0.000000000000	  1.000000000000	 -0.001690143948	
r23	  0.000000000000	  1.000000000000	 -0.000906865194	
r24	  0.000000000000	  1.000000000000	 -0.000906865194	
r25	  0.000000000000	  1.000000000000	 -0.001846946618	
r26	  0.000000000000	  1.000000000000	 -0.001611760987	
r27	  0.000000000000	  1.000000000000	 -0.000985138007	
r28	  0.000000000000	  1.000000000000	 -0.002160698997	
r29	  0.000000000000	  1.000000000000	 -0.001690143948	
r30	  0.000000000000	  1.000000000000	 -0.002945938397	
r31	  0.000000000000	  1.000000000000	 -0.001494209507	
r32	  0.000000000000	  1.000000000000	 -0.001846946618	
r33	  0.000000000000	  1.000000000000	 -0.002160698997	
r34	  0.000000000000	  1.000000000000	 -0.000906865194	
r35	  0.000000000000	  1.000000000000	 -0.000906865194	
r36	  0.000000000000	  1.000000000000	 -0.000906865194	
r37	  0.000000000000	  1.000000000000	 -0.000281122783	
r38	  0.000000000000	  1.000000000000	 -0.001220029839	
r39	  0.000000000000	  1.000000000000	 -0.001220029839	
r40	  0.000000000000	  1.000000000000	 -0.001220029839	
r41	  0.000000000000	  1.000000000000	 -0.000359297816	
r42	  0.000000000000	  1.000000000000	 -0.002003798295	
r43	  0.000000000000	  1.000000000000	 -0.001846946618	
r44	  0.000000000000	  1.000000000000	 -0.001533390272	
