	A	D	S	
r1	  0.091935705277	  1.221380261189	  0.000000000000	
r2	  0.094440625294	  1.234663699965	  0.000000000000	
r3	  0.092552200712	  1.214358646549	  0.000000000000	
r4	  0.090560520814	  1.210454283513	  0.000000000000	
r5	  0.089417664107	  1.216690001862	  0.000000000000	
r6	  0.095369714514	  1.220566266199	  0.000000000000	
r7	  0.093293929571	  1.214733583581	  0.000000000000	
r8	  0.092082804875	  1.217578412945	  0.000000000000	
r9	  0.095099250920	  1.222595446011	  0.000000000000	
r10	  0.092359018644	  1.217631228062	  0.000000000000	
r11	  0.092703039100	  1.226126017764	  0.000000000000	
r12	  0.093863026032	  1.222941712989	  0.000000000000	
r13	  0.090444816793	  1.218897618069	  0.000000000000	
r14	  0.088391448943	  1.213074826796	  0.000000000000	
r15	  0.096011318868	  1.223407856141	  0.000000000000	
r16	  0.091915357362	  1.211734967777	  0.000000000000	
r17	  0.094136394340	  1.208890870230	  0.000000000000	
r18	  0.094571539544	  1.222465136693	  0.000000000000	
r19	  0.093419703068	  1.212900273313	  0.000000000000	
r20	  0.095334739040	  1.221074147132	  0.000000000000	
r21	  0.096117031991	  1.223565835842	  0.000000000000	
r22	  0.091903223981	  1.221528056633	  0.000000000000	
r23	  0.091561214363	  1.216948192632	  0.000000000000	
r24	  0.096626646435	  1.233972825627	  0.000000000000	
r25	  0.088954366298	  1.218811460827	  0.000000000000	
r26	  0.093434146843	  1.224673835578	  0.000000000000	
r27	  0.096908169311	  1.217676172032	  0.000000000000	
r28	  0.091965132134	  1.214383628635	  0.000000000000	
r29	  0.094531907586	  1.218672683261	  0.000000000000	
r30	  0.089188969224	  1.234118975783	  0.000000000000	
r31	  0.090096090945	  1.214323000538	  0.000000000000	
r32	  0.094062567327	  1.224273005027	  0.000000000000	
r33	  0.092070623492	  1.222689937772	  0.000000000000	
r34	  0.095275497902	  1.220522025040	  0.000000000000	
r35	  0.092772810912	  1.217591702830	  0.000000000000	
r36	  0.089549664716	  1.213038753612	  0.000000000000	
r37	  0.093793138498	  1.211703132357	  0.000000000000	
r38	  0.092505423712	  1.227248245813	  0.000000000000	
r39	  0.095483539794	  1.221982695481	  0.000000000000	
r40	  0.090884774986	  1.216006627615	  0.000000000000	
r41	  0.093504467893	  1.211137763292	  0.000000000000	
r42	  0.090344369048	  1.225987355026	  0.000000000000	
r43	  0.090215044223	  1.215949998420	  0.000000000000	
r44	  0.094779618726	  1.228459114392	  0.000000000000	
r45	  0.093224387033	  1.196999384379	  0.000000000000	
r46	  0.094301098248	  1.213762178760	  0.000000000000	
r47	  0.095169325937	  1.230101294084	  0.000000000000	
r48	  0.092042742479	  1.221190037471	  0.000000000000	
r49	  0.085669173715	  1.213698604621	  0.000000000000	
r50	  0.090893153660	  1.220230234957	  0.000000000000	
r51	  0.090792586602	  1.233202144152	  0.000000000000	
r52	  0.090264760914	  1.227644455751	  0.000000000000	
r53	  0.092126417281	  1.229905640468	  0.000000000000	
r54	  0.091626211438	  1.223947662096	  0.000000000000	
r55	  0.090165146388	  1.219726363000	  0.000000000000	
r56	  0.092411663150	  1.214747938946	  0.000000000000	
r57	  0.098525687494	  1.208386421192	  0.000000000000	
r58	  0.091231809487	  1.226521352908	  0.000000000000	
r59	  0.093686874444	  1.217511484136	  0.000000000000	
r60	  0.094465278353	  1.225967497553	  0.000000000000	
r61	  0.090870723304	  1.213773961646	  0.000000000000	
r62	  0.089638690359	  1.220182489409	  0.000000000000	
r63	  0.091281842889	  1.210584598203	  0.000000000000	
r64	  0.091695072780	  1.218824564628	  0.000000000000	
